Time,yPosition,yVelocity,yAcceleration
7787.6216,-374.31485,-0.12645914,-1.0987376E-11
7821.414,-378.58823,-0.12645914,-1.10353575E-11
7855.184,-382.85876,-0.12645914,-1.1083243E-11
7888.9,-387.12244,-0.12645914,-1.1131096E-11
7922.5986,-391.38394,-0.12645914,-1.1178873E-11
7956.2207,-395.63574,-0.12645914,-1.12266255E-11
7989.7803,-399.87967,-0.12645914,-1.1274269E-11
8023.3315,-404.12256,-0.12645914,-1.13218246E-11
8056.8716,-408.36398,-0.12645914,-1.1369368E-11
8090.414,-412.60574,-0.12645914,-1.1416895E-11
8123.9365,-416.84497,-0.12645914,-1.1464427E-11
8157.475,-421.0862,-0.12645914,-1.15119286E-11
8191.0103,-425.32706,-0.12645914,-1.1559454E-11
8224.486,-429.56036,-0.12645914,-1.1606975E-11
8257.965,-433.79407,-0.12645914,-1.1654412E-11
8291.469,-438.031,-0.12645914,-1.1701852E-11
8324.934,-442.26297,-0.12645914,-1.1749328E-11
8358.366,-446.49088,-0.12645914,-1.1796749E-11
8391.779,-450.71622,-0.12645914,-1.1844125E-11
8425.148,-454.936,-0.12645914,-1.1891472E-11
8459.487,-459.2785,-0.12645914,-1.1938758E-11
8492.789,-463.4898,-0.12645914,-1.1987417E-11
8526.083,-467.70007,-0.12645914,-1.2034607E-11
8559.398,-471.91306,-0.12645914,-1.2081786E-11
8592.748,-476.1305,-0.12645914,-1.2128995E-11
8626.112,-480.34973,-0.12645914,-1.2176253E-11
8659.489,-484.57053,-0.12645914,-1.2223531E-11
8692.813,-488.7847,-0.12645914,-1.2270828E-11
8726.077,-492.99115,-0.12645914,-1.2318049E-11
8759.33,-497.19626,-0.12645914,-1.2365185E-11
8792.521,-501.3936,-0.12645914,-1.24123056E-11
8825.703,-505.5897,-0.12645914,-1.2459339E-11
8858.926,-509.79095,-0.12645914,-1.2506359E-11
8892.119,-513.9885,-0.12645914,-1.2553437E-11
8925.3,-518.1845,-0.12645914,-1.2600473E-11
8958.472,-522.3794,-0.12645914,-1.26474916E-11
8991.693,-526.58057,-0.12645914,-1.2694497E-11
9024.926,-530.78314,-0.12645914,-1.2741573E-11
9058.123,-534.9813,-0.12645914,-1.2788665E-11
9091.265,-539.17236,-0.12645914,-1.2835707E-11
9124.444,-543.3682,-0.12645914,-1.288267E-11
9157.567,-547.55695,-0.12645914,-1.2929687E-11
9190.713,-551.7485,-0.12645914,-1.2976623E-11
9223.794,-555.9318,-0.12645914,-1.3023592E-11
9256.839,-560.11066,-0.12645914,-1.3070469E-11
9289.897,-564.2912,-0.12645914,-1.3117295E-11
9322.916,-568.4667,-0.12645914,-1.316414E-11
9355.893,-572.63684,-0.12645914,-1.3210929E-11
9388.905,-576.81165,-0.12645914,-1.3257658E-11
9421.914,-580.9859,-0.12645914,-1.3304438E-11
9454.916,-585.1593,-0.12645914,-1.33512125E-11
9487.915,-589.3323,-0.12645914,-1.3397978E-11
9520.89,-593.50226,-0.12645914,-1.3444738E-11
9553.848,-597.6701,-0.12645914,-1.3491465E-11
9586.816,-601.8393,-0.12645914,-1.3538168E-11
9619.741,-606.0029,-0.12645914,-1.3584886E-11
9652.674,-610.1676,-0.12645914,-1.3631541E-11
9685.612,-614.33295,-0.12645914,-1.3678208E-11
9718.476,-618.4888,-0.12645914,-1.3724883E-11
9751.358,-622.64716,-0.12645914,-1.3771452E-11
9784.206,-626.80096,-0.12645914,-1.3818048E-11
9817.069,-630.9568,-0.12645914,-1.3864594E-11
9849.915,-635.1104,-0.12645914,-1.3911163E-11
9882.761,-639.26404,-0.12645914,-1.39577065E-11
9915.594,-643.41614,-0.12645914,-1.400425E-11
9948.43,-647.5686,-0.12645914,-1.4050776E-11
9981.236,-651.7173,-0.12645914,-1.4097306E-11
10014.047,-655.8665,-0.12645914,-1.4143794E-11
10046.87,-660.01733,-0.12645914,-1.4190288E-11
10079.688,-664.1676,-0.12645914,-1.4236799E-11
10112.506,-668.3177,-0.12645914,-1.4283305E-11
10145.288,-672.4633,-0.12645914,-1.4329808E-11
10178.128,-676.6162,-0.12645914,-1.43762615E-11
10210.986,-680.7714,-0.12645914,-1.4422797E-11
10243.844,-684.9265,-0.12645914,-1.4469358E-11
10276.752,-689.088,-0.12645914,-1.4515919E-11
10309.675,-693.2514,-0.12645914,-1.456255E-11
10342.572,-697.41156,-0.12645914,-1.4609204E-11
10375.438,-701.5678,-0.12645914,-1.465582E-11
10408.238,-705.71564,-0.12645914,-1.4702394E-11
10441.007,-709.8595,-0.12645914,-1.4748872E-11
10473.75,-714.0002,-0.12645914,-1.4795306E-11
10506.471,-718.13794,-0.12645914,-1.4841704E-11
10539.196,-722.2763,-0.12645914,-1.4888072E-11
10571.937,-726.4166,-0.12645914,-1.4934444E-11
10604.65,-730.5536,-0.12645914,-1.4980838E-11
10637.332,-734.6865,-0.12645914,-1.5027195E-11
10670.075,-738.8272,-0.12645914,-1.5073507E-11
10702.819,-742.968,-0.12645914,-1.5119905E-11
10735.507,-747.1016,-0.12645914,-1.5166304E-11
10768.202,-751.23627,-0.12645914,-1.5212625E-11
10800.929,-755.3748,-0.12645914,-1.5258954E-11
10833.629,-759.51,-0.12645914,-1.530533E-11
