Time,xPosition,xVelocity,xAcceleration
255.92458,-432.88004,-9.310482E-10,-3.6379788E-12
503.49783,-432.88004,-1.8317144E-9,-3.6379788E-12
740.2368,-432.88004,-2.6929659E-9,-3.6379788E-12
966.7617,-432.88004,-3.5170586E-9,-3.6379788E-12
1183.6473,-432.88004,-4.306084E-9,-3.6379788E-12
1391.3732,-432.88004,-5.061786E-9,-3.6379788E-12
1590.3455,-432.88004,-5.785643E-9,-3.6379788E-12
1780.9581,-432.88004,-6.479088E-9,-3.6379788E-12
1963.728,-432.88004,-7.144001E-9,-3.6379788E-12
2139.0457,-432.88004,-7.781803E-9,-3.6379788E-12
2307.278,-432.88004,-8.393829E-9,-3.6379788E-12
2468.714,-432.88004,-8.98113E-9,-3.6379788E-12
2623.7341,-432.88004,-9.545089E-9,-3.6379788E-12
2772.596,-432.88004,-1.0086645E-8,-3.6379788E-12
2915.6191,-432.88004,-1.0606961E-8,-3.6379788E-12
3053.0571,-432.88004,-1.1106957E-8,-3.6379788E-12
3185.2632,-432.88004,-1.158792E-8,-3.6379788E-12
3312.4565,-432.88004,-1.2050647E-8,-3.6379788E-12
3434.8542,-432.88004,-1.2495927E-8,-3.6379788E-12
3552.761,-432.88004,-1.2924869E-8,-3.6379788E-12
3666.4067,-432.88004,-1.333831E-8,-3.6379788E-12
3775.9656,-432.88004,-1.3736883E-8,-3.6379788E-12
3881.5967,-432.88004,-1.41211665E-8,-3.6379788E-12
3983.5957,-432.88004,-1.4492237E-8,-3.6379788E-12
4082.0476,-432.88004,-1.4850403E-8,-3.6379788E-12
4177.2363,-432.88004,-1.5196697E-8,-3.6379788E-12
4269.297,-432.88004,-1.5531612E-8,-3.6379788E-12
4358.446,-432.88004,-1.5855933E-8,-3.6379788E-12
4444.8374,-432.88004,-1.6170224E-8,-3.6379788E-12
4528.6206,-432.88004,-1.6475026E-8,-3.6379788E-12
4609.814,-432.88004,-1.6770406E-8,-3.6379788E-12
4688.5986,-432.88004,-1.7057022E-8,-3.6379788E-12
4765.069,-432.88004,-1.733522E-8,-3.6379788E-12
4839.357,-432.88004,-1.7605478E-8,-3.6379788E-12
4911.489,-432.88004,-1.7867892E-8,-3.6379788E-12
4981.665,-432.88004,-1.8123192E-8,-3.6379788E-12
5049.9946,-432.88004,-1.8371773E-8,-3.6379788E-12
5116.488,-432.88004,-1.8613674E-8,-3.6379788E-12
5181.2935,-432.88004,-1.8849436E-8,-3.6379788E-12
5244.4844,-432.88004,-1.9079323E-8,-3.6379788E-12
5306.123,-432.88004,-1.9303563E-8,-3.6379788E-12
5366.2837,-432.88004,-1.9522426E-8,-3.6379788E-12
5425.053,-432.88004,-1.9736229E-8,-3.6379788E-12
5482.477,-432.88004,-1.9945135E-8,-3.6379788E-12
5538.577,-432.88004,-2.0149226E-8,-3.6379788E-12
5593.5303,-432.88004,-2.0349145E-8,-3.6379788E-12
5647.3525,-432.88004,-2.0544949E-8,-3.6379788E-12
5700.0063,-432.88004,-2.0736502E-8,-3.6379788E-12
5751.6494,-432.88004,-2.0924379E-8,-3.6379788E-12
5802.369,-432.88004,-2.1108896E-8,-3.6379788E-12
5852.2285,-432.88004,-2.1290283E-8,-3.6379788E-12
5901.159,-432.88004,-2.1468292E-8,-3.6379788E-12
5949.313,-432.88004,-2.1643475E-8,-3.6379788E-12
5996.7124,-432.88004,-2.1815913E-8,-3.6379788E-12
6043.329,-432.88004,-2.1985503E-8,-3.6379788E-12
6089.1787,-432.88004,-2.2152303E-8,-3.6379788E-12
6134.4097,-432.88004,-2.2316852E-8,-3.6379788E-12
6179.0107,-432.88004,-2.247911E-8,-3.6379788E-12
6223.034,-432.88004,-2.2639266E-8,-3.6379788E-12
6266.444,-432.88004,-2.279719E-8,-3.6379788E-12
6309.2744,-432.88004,-2.2953007E-8,-3.6379788E-12
6351.576,-432.88004,-2.31069E-8,-3.6379788E-12
6393.3486,-432.88004,-2.3258867E-8,-3.6379788E-12
6434.611,-432.88004,-2.3408978E-8,-3.6379788E-12
6475.511,-432.88004,-2.3557773E-8,-3.6379788E-12
6516.019,-432.88004,-2.370514E-8,-3.6379788E-12
6556.056,-432.88004,-2.3850793E-8,-3.6379788E-12
6595.7974,-432.88004,-2.3995371E-8,-3.6379788E-12
6635.219,-432.88004,-2.4138787E-8,-3.6379788E-12
6674.3076,-432.88004,-2.428099E-8,-3.6379788E-12
6713.063,-432.88004,-2.442198E-8,-3.6379788E-12
6751.5464,-432.88004,-2.4561983E-8,-3.6379788E-12
6789.8037,-432.88004,-2.4701162E-8,-3.6379788E-12
6827.785,-432.88004,-2.4839338E-8,-3.6379788E-12
6865.5337,-432.88004,-2.4976666E-8,-3.6379788E-12
6903.025,-432.88004,-2.5113058E-8,-3.6379788E-12
6940.2886,-432.88004,-2.5248623E-8,-3.6379788E-12
6977.3726,-432.88004,-2.5383533E-8,-3.6379788E-12
7014.25,-432.88004,-2.5517693E-8,-3.6379788E-12
7050.9087,-432.88004,-2.5651056E-8,-3.6379788E-12
7087.4106,-432.88004,-2.578385E-8,-3.6379788E-12
7123.738,-432.88004,-2.5916007E-8,-3.6379788E-12
7159.888,-432.88004,-2.6047521E-8,-3.6379788E-12
7195.9287,-432.88004,-2.6178636E-8,-3.6379788E-12
7231.838,-432.88004,-2.6309273E-8,-3.6379788E-12
7267.5635,-432.88004,-2.6439242E-8,-3.6379788E-12
7303.113,-432.88004,-2.656857E-8,-3.6379788E-12
7338.5386,-432.88004,-2.6697448E-8,-3.6379788E-12
7373.755,-432.88004,-2.6825564E-8,-3.6379788E-12
7408.889,-432.88004,-2.6953382E-8,-3.6379788E-12
7443.929,-432.88004,-2.7080857E-8,-3.6379788E-12
7478.753,-432.88004,-2.7207545E-8,-3.6379788E-12
7513.514,-432.88004,-2.7334005E-8,-3.6379788E-12
7548.2026,-432.88004,-2.7460201E-8,-3.6379788E-12
7582.781,-432.88004,-2.7585996E-8,-3.6379788E-12
7617.2134,-432.88004,-2.771126E-8,-3.6379788E-12
7651.536,-432.88004,-2.7836126E-8,-3.6379788E-12
7685.71,-432.88004,-2.796045E-8,-3.6379788E-12
7719.8027,-432.88004,-2.8084479E-8,-3.6379788E-12
7753.761,-432.88004,-2.8208019E-8,-3.6379788E-12
7787.6216,-432.88004,-2.8331202E-8,-3.6379788E-12
7821.414,-432.88004,-2.8454139E-8,-3.6379788E-12
7855.184,-432.88004,-2.8576993E-8,-3.6379788E-12
7888.9,-432.88004,-2.869965E-8,-3.6379788E-12
7922.5986,-432.88004,-2.8822246E-8,-3.6379788E-12
7956.2207,-432.88004,-2.8944562E-8,-3.6379788E-12
7989.7803,-432.88004,-2.9066651E-8,-3.6379788E-12
8023.3315,-432.88004,-2.918871E-8,-3.6379788E-12
8056.8716,-432.88004,-2.9310728E-8,-3.6379788E-12
8090.414,-432.88004,-2.9432755E-8,-3.6379788E-12
8123.9365,-432.88004,-2.9554709E-8,-3.6379788E-12
8157.475,-432.88004,-2.9676722E-8,-3.6379788E-12
8191.0103,-432.88004,-2.9798722E-8,-3.6379788E-12
8224.486,-432.88004,-2.9920507E-8,-3.6379788E-12
8257.965,-432.88004,-3.00423E-8,-3.6379788E-12
8291.469,-432.88004,-3.0164188E-8,-3.6379788E-12
8324.934,-432.88004,-3.0285932E-8,-3.6379788E-12
8358.366,-432.88004,-3.040756E-8,-3.6379788E-12
8391.779,-432.88004,-3.0529115E-8,-3.6379788E-12
8425.148,-432.88004,-3.065051E-8,-3.6379788E-12
8459.487,-432.88004,-3.0775436E-8,-3.6379788E-12
8492.789,-432.88004,-3.0896587E-8,-3.6379788E-12
8526.083,-432.88004,-3.101771E-8,-3.6379788E-12
8559.398,-432.88004,-3.113891E-8,-3.6379788E-12
8592.748,-432.88004,-3.1260235E-8,-3.6379788E-12
8626.112,-432.88004,-3.1381614E-8,-3.6379788E-12
8659.489,-432.88004,-3.150304E-8,-3.6379788E-12
8692.813,-432.88004,-3.162427E-8,-3.6379788E-12
8726.077,-432.88004,-3.1745284E-8,-3.6379788E-12
8759.33,-432.88004,-3.1866257E-8,-3.6379788E-12
8792.521,-432.88004,-3.1987007E-8,-3.6379788E-12
8825.703,-432.88004,-3.210772E-8,-3.6379788E-12
8858.926,-432.88004,-3.2228584E-8,-3.6379788E-12
8892.119,-432.88004,-3.234934E-8,-3.6379788E-12
8925.3,-432.88004,-3.247005E-8,-3.6379788E-12
8958.472,-432.88004,-3.259073E-8,-3.6379788E-12
8991.693,-432.88004,-3.271159E-8,-3.6379788E-12
9024.926,-432.88004,-3.283249E-8,-3.6379788E-12
9058.123,-432.88004,-3.295326E-8,-3.6379788E-12
9091.265,-432.88004,-3.3073828E-8,-3.6379788E-12
9124.444,-432.88004,-3.3194535E-8,-3.6379788E-12
9157.567,-432.88004,-3.3315036E-8,-3.6379788E-12
